season,bracket,week,round,game_type,seed_1,team_1,score_1,seed_2,team_2,score_2,winner
2023,championship,16,2,semifinal,1,dad will win,116.30,4,Marvelous Mamma,113.30,
2023,championship,16,2,semifinal,2,Pinkie pink 🏈,95.40,3,Daphne's Magic,118.00,
2023,championship,17,3,final,1,dad will win,136.50,3,Daphne's Magic,114.80,
2023,championship,17,3,3rd_place,2,Pinkie pink 🏈,123.70,4,Marvelous Mamma,83.60,
2024,championship,16,2,semifinal,1,Pinkie pink 🏈,126.70,4,Marvelous Mamma,136.30,
2024,championship,16,2,semifinal,2,dad will win,123.80,3,Daphne's Magic,116.40,
2024,championship,17,3,final,2,dad will win,122.60,4,Marvelous Mamma,122.80,
2024,championship,17,3,3rd_place,1,Pinkie pink 🏈,97.80,3,Daphne's Magic,94.60,
2025,championship,16,2,semifinal,1,Daphne's Magic,102.80,4,Marvelous Mamma,104.20,
2025,championship,16,2,semifinal,2,dad will win,91.30,3,Pinkie pink 🏈,127.70,
2025,championship,17,3,final,3,Pinkie pink 🏈,118.40,4,Marvelous Mamma,80.80,
2025,championship,17,3,3rd_place,1,Daphne's Magic,87.50,2,dad will win,74.70,
