season,rank,team_name,wins,losses,ties,points_for,points_against,streak,waiver_priority,moves
2023,1,dad will win,12,3,0,1457.20,L-1,3,30,
2023,2,Daphne's Magic,6,9,0,1534.60,W-1,2,16,
2023,3,Pinkie pink 🏈,6,9,0,1551.00,L-1,1,15,
2023,4,Marvelous Mamma,6,9,0,1453.20,W-1,4,8,
2024,1,Marvelous Mamma,5,10,0,1567.00,L-3,2,6,
2024,2,dad will win,10,5,0,1514.30,W-5,3,29,
2024,3,Pinkie pink 🏈,10,5,0,1537.10,L-1,1,14,
2024,4,Daphne's Magic,5,10,0,1631.20,W-1,4,7,
2025,1,Pinkie pink 🏈,7,8,0,1621.80,W-1,1,10,
2025,2,Marvelous Mamma,2,13,0,1754.40,L-8,3,2,
2025,3,Daphne's Magic,13,2,0,1538.90,L-1,2,12,
2025,4,dad will win,8,7,0,1591.00,W-3,4,20,
