season,week,team_name,opponent,result,team_score,opponent_score,is_bye,is_playoff
2023,1,dad will win,Pinkie pink 🏈,Win,91.30,71.90,false,
2023,1,Pinkie pink 🏈,dad will win,Loss,71.90,91.30,false,
2023,1,Daphne's Magic,Marvelous Mamma,Win,63.30,59.70,false,
2023,1,Marvelous Mamma,Daphne's Magic,Loss,59.70,63.30,false,
2023,2,dad will win,Marvelous Mamma,Loss,102.70,103.50,false,
2023,2,Marvelous Mamma,dad will win,Win,103.50,102.70,false,
2023,2,Daphne's Magic,Pinkie pink 🏈,Loss,94.30,119.90,false,
2023,2,Pinkie pink 🏈,Daphne's Magic,Win,119.90,94.30,false,
2023,3,dad will win,Daphne's Magic,Win,155.80,119.50,false,
2023,3,Daphne's Magic,dad will win,Loss,119.50,155.80,false,
2023,3,Pinkie pink 🏈,Marvelous Mamma,Win,137.30,76.20,false,
2023,3,Marvelous Mamma,Pinkie pink 🏈,Loss,76.20,137.30,false,
2023,4,dad will win,Pinkie pink 🏈,Win,85.60,77.50,false,
2023,4,Pinkie pink 🏈,dad will win,Loss,77.50,85.60,false,
2023,4,Daphne's Magic,Marvelous Mamma,Win,69.20,63.70,false,
2023,4,Marvelous Mamma,Daphne's Magic,Loss,63.70,69.20,false,
2023,5,dad will win,Marvelous Mamma,Win,108.80,72.40,false,
2023,5,Marvelous Mamma,dad will win,Loss,72.40,108.80,false,
2023,5,Daphne's Magic,Pinkie pink 🏈,Loss,96.20,126.50,false,
2023,5,Pinkie pink 🏈,Daphne's Magic,Win,126.50,96.20,false,
2023,6,dad will win,Daphne's Magic,Win,112.80,103.50,false,
2023,6,Daphne's Magic,dad will win,Loss,103.50,112.80,false,
2023,6,Pinkie pink 🏈,Marvelous Mamma,Win,93.30,58.80,false,
2023,6,Marvelous Mamma,Pinkie pink 🏈,Loss,58.80,93.30,false,
2023,7,dad will win,Pinkie pink 🏈,Win,124.50,108.30,false,
2023,7,Pinkie pink 🏈,dad will win,Loss,108.30,124.50,false,
2023,7,Daphne's Magic,Marvelous Mamma,Loss,81.20,99.20,false,
2023,7,Marvelous Mamma,Daphne's Magic,Win,99.20,81.20,false,
2023,8,dad will win,Marvelous Mamma,Win,102.10,77.20,false,
2023,8,Marvelous Mamma,dad will win,Loss,77.20,102.10,false,
2023,8,Daphne's Magic,Pinkie pink 🏈,Win,125.50,99.80,false,
2023,8,Pinkie pink 🏈,Daphne's Magic,Loss,99.80,125.50,false,
2023,9,dad will win,Daphne's Magic,Win,113.40,85.10,false,
2023,9,Daphne's Magic,dad will win,Loss,85.10,113.40,false,
2023,9,Pinkie pink 🏈,Marvelous Mamma,Win,68.90,68.20,false,
2023,9,Marvelous Mamma,Pinkie pink 🏈,Loss,68.20,68.90,false,
2023,10,dad will win,Pinkie pink 🏈,Win,148.90,118.20,false,
2023,10,Pinkie pink 🏈,dad will win,Loss,118.20,148.90,false,
2023,10,Daphne's Magic,Marvelous Mamma,Loss,101.40,111.90,false,
2023,10,Marvelous Mamma,Daphne's Magic,Win,111.90,101.40,false,
2023,11,dad will win,Marvelous Mamma,Loss,114.50,123.50,false,
2023,11,Marvelous Mamma,dad will win,Win,123.50,114.50,false,
2023,11,Daphne's Magic,Pinkie pink 🏈,Win,123.20,81.90,false,
2023,11,Pinkie pink 🏈,Daphne's Magic,Loss,81.90,123.20,false,
2023,12,dad will win,Daphne's Magic,Win,113.10,76.90,false,
2023,12,Daphne's Magic,dad will win,Loss,76.90,113.10,false,
2023,12,Pinkie pink 🏈,Marvelous Mamma,Loss,71.60,123.00,false,
2023,12,Marvelous Mamma,Pinkie pink 🏈,Win,123.00,71.60,false,
2023,13,dad will win,Pinkie pink 🏈,Win,134.70,130.40,false,
2023,13,Pinkie pink 🏈,dad will win,Loss,130.40,134.70,false,
2023,13,Daphne's Magic,Marvelous Mamma,Win,117.00,99.80,false,
2023,13,Marvelous Mamma,Daphne's Magic,Loss,99.80,117.00,false,
2023,14,dad will win,Marvelous Mamma,Win,111.50,99.30,false,
2023,14,Marvelous Mamma,dad will win,Loss,99.30,111.50,false,
2023,14,Daphne's Magic,Pinkie pink 🏈,Loss,70.80,96.30,false,
2023,14,Pinkie pink 🏈,Daphne's Magic,Win,96.30,70.80,false,
2023,15,dad will win,Daphne's Magic,Loss,80.80,90.00,false,
2023,15,Daphne's Magic,dad will win,Win,90.00,80.80,false,
2023,15,Pinkie pink 🏈,Marvelous Mamma,Loss,110.40,129.80,false,
2023,15,Marvelous Mamma,Pinkie pink 🏈,Win,129.80,110.40,false,
2023,16,dad will win,Marvelous Mamma,Win,116.30,113.30,false,
2023,16,Marvelous Mamma,dad will win,Loss,113.30,116.30,false,
2023,16,Daphne's Magic,Pinkie pink 🏈,Win,118.00,95.40,false,
2023,16,Pinkie pink 🏈,Daphne's Magic,Loss,95.40,118.00,false,
2023,17,dad will win,Daphne's Magic,Win,136.50,114.80,false,
2023,17,Daphne's Magic,dad will win,Loss,114.80,136.50,false,
2023,17,Pinkie pink 🏈,Marvelous Mamma,Win,123.70,83.60,false,
2023,17,Marvelous Mamma,Pinkie pink 🏈,Loss,83.60,123.70,false,
2024,1,dad will win,Marvelous Mamma,Win,79.00,61.90,false,
2024,1,Marvelous Mamma,dad will win,Loss,61.90,79.00,false,
2024,1,Daphne's Magic,Pinkie pink 🏈,Loss,92.60,99.40,false,
2024,1,Pinkie pink 🏈,Daphne's Magic,Win,99.40,92.60,false,
2024,2,dad will win,Daphne's Magic,Win,108.50,70.30,false,
2024,2,Daphne's Magic,dad will win,Loss,70.30,108.50,false,
2024,2,Pinkie pink 🏈,Marvelous Mamma,Win,113.40,108.70,false,
2024,2,Marvelous Mamma,Pinkie pink 🏈,Loss,108.70,113.40,false,
2024,3,dad will win,Pinkie pink 🏈,Loss,116.10,129.80,false,
2024,3,Pinkie pink 🏈,dad will win,Win,129.80,116.10,false,
2024,3,Daphne's Magic,Marvelous Mamma,Loss,86.20,94.50,false,
2024,3,Marvelous Mamma,Daphne's Magic,Win,94.50,86.20,false,
2024,4,dad will win,Marvelous Mamma,Win,106.00,88.60,false,
2024,4,Marvelous Mamma,dad will win,Loss,88.60,106.00,false,
2024,4,Daphne's Magic,Pinkie pink 🏈,Loss,74.90,113.80,false,
2024,4,Pinkie pink 🏈,Daphne's Magic,Win,113.80,74.90,false,
2024,5,dad will win,Daphne's Magic,Win,101.80,90.20,false,
2024,5,Daphne's Magic,dad will win,Loss,90.20,101.80,false,
2024,5,Pinkie pink 🏈,Marvelous Mamma,Win,120.10,104.80,false,
2024,5,Marvelous Mamma,Pinkie pink 🏈,Loss,104.80,120.10,false,
2024,6,dad will win,Pinkie pink 🏈,Win,120.00,88.70,false,
2024,6,Pinkie pink 🏈,dad will win,Loss,88.70,120.00,false,
2024,6,Daphne's Magic,Marvelous Mamma,Loss,67.90,76.30,false,
2024,6,Marvelous Mamma,Daphne's Magic,Win,76.30,67.90,false,
2024,7,dad will win,Marvelous Mamma,Loss,92.90,125.70,false,
2024,7,Marvelous Mamma,dad will win,Win,125.70,92.90,false,
2024,7,Daphne's Magic,Pinkie pink 🏈,Win,118.20,106.50,false,
2024,7,Pinkie pink 🏈,Daphne's Magic,Loss,106.50,118.20,false,
2024,8,dad will win,Daphne's Magic,Loss,98.30,117.20,false,
2024,8,Daphne's Magic,dad will win,Win,117.20,98.30,false,
2024,8,Pinkie pink 🏈,Marvelous Mamma,Win,139.80,91.40,false,
2024,8,Marvelous Mamma,Pinkie pink 🏈,Loss,91.40,139.80,false,
2024,9,dad will win,Pinkie pink 🏈,Loss,117.40,138.60,false,
2024,9,Pinkie pink 🏈,dad will win,Win,138.60,117.40,false,
2024,9,Daphne's Magic,Marvelous Mamma,Win,137.10,118.50,false,
2024,9,Marvelous Mamma,Daphne's Magic,Loss,118.50,137.10,false,
2024,10,dad will win,Marvelous Mamma,Loss,72.20,106.50,false,
2024,10,Marvelous Mamma,dad will win,Win,106.50,72.20,false,
2024,10,Daphne's Magic,Pinkie pink 🏈,Loss,80.70,126.40,false,
2024,10,Pinkie pink 🏈,Daphne's Magic,Win,126.40,80.70,false,
2024,11,dad will win,Daphne's Magic,Win,122.00,75.60,false,
2024,11,Daphne's Magic,dad will win,Loss,75.60,122.00,false,
2024,11,Pinkie pink 🏈,Marvelous Mamma,Win,109.00,76.70,false,
2024,11,Marvelous Mamma,Pinkie pink 🏈,Loss,76.70,109.00,false,
2024,12,dad will win,Pinkie pink 🏈,Win,101.60,101.20,false,
